id,symbol,name,publisher,instrument_class,currency,exchange,mic,asset,security_type,min_lot_size,expiration,max_price_variation,unit_of_measure_qty,min_price_increment,display_factor,price_display_format,price_ratio REAL,underlying_symbol,maturity_year,maturity_month,maturity_day,group,tick_rule,strike_price,strike_price_currency
5072,BLX,BANCO LATINOAMERICANO COME-E,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Multi-National,,,
3206032,BKE,BUCKLE INC/THE,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
5022,BKH,BLACK HILLS CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
5147,BOH,BANK OF HAWAII CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
5171,BP,BP PLC-SPONS ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Oil&amp;Gas,,,
3141362,BHE,BENCHMARK ELECTRONICS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electronics,,,
4986,BHP,BHP GROUP LTD-SPON ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Mining,,,
5111,BMY,BRISTOL-MYERS SQUIBB CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pharmaceuticals,,,
5222,BRK A,BERKSHIRE HATHAWAY INC-CL A,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Insurance,,,
5234,BRT,BRT APARTMENTS CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
5270,BSX,BOSTON SCIENTIFIC CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Products,,,
1715014,BVN,CIA DE MINAS BUENAVENTUR-ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Mining,,,
5336,BWA,BORGWARNER INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Auto Parts&amp;Equipment,,,
5021340,BXP,BXP INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
5365,BYD,BOYD GAMING CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Lodging,,,
5402,CAG,CONAGRA BRANDS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Food,,,
5407,CAH,CARDINAL HEALTH INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Pharmaceuticals,,,
5437,CAT,CATERPILLAR INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Machinery-Constr&amp;Mining,,,
5480,CBT,CABOT CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Chemicals,,,
2586156,KMX,CARMAX INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
1447060,CCJ,CAMECO CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Mining,,,
5513,CCK,CROWN HOLDINGS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Packaging&amp;Containers,,,
1134240,CEE,CENTRAL AND EASTERN EUROPE F,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
5651,CHD,CHURCH & DWIGHT CO INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Household Products/Wares,,,
5654,CHE,CHEMED CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Healthcare-Services,,,
2585515,CHH,CHOICE HOTELS INTL INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Lodging,,,
5610,CFR,CULLEN/FROST BANKERS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
5684,CVX,CHEVRON CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Oil&amp;Gas,,,
2006842,CIG,CIA ENERGETICA DE-SPON ADR,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electric,,,
5794,CLX,CLOROX COMPANY,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Household Products/Wares,,,
1520593,JPM,JPMORGAN CHASE & CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Banks,,,
5811,CMC,COMMERCIAL METALS CO,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Iron/Steel,,,
5862,CNA,CNA FINANCIAL CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Insurance,,,
