conid,ticker,currency,listingExchange,countryCode,name,assetClass,group,sector,sectorGroup,type,hasOptions,fullName
41622169,FSLR,USD,NASDAQ,US,FIRST SOLAR INC,STK,Energy-Alternate Sources,Energy,Energy-Alternate Sources,COMMON,true,FSLR
70236214,FTNT,USD,NASDAQ,US,FORTINET INC,STK,Computers,Technology,Computer Data Security,COMMON,true,FTNT
236074120,FTV,USD,NYSE,US,FORTIVE CORP,STK,Electronics,Industrial,Electronic Measur Instr,COMMON,true,FTV
7496,GD,USD,NYSE,US,GENERAL DYNAMICS CORP,STK,Aerospace/Defense,Industrial,Aerospace/Defense,COMMON,true,GD
188986978,GDDY,USD,NYSE,US,GODADDY INC - CLASS A,STK,Internet,Communications,Web Hosting/Design,COMMON,true,GDDY
498843743,GE,USD,NYSE,US,GENERAL ELECTRIC,STK,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,COMMON,true,GE
601776309,GEHC,USD,NASDAQ,US,GE HEALTHCARE TECHNOLOGY,STK,Healthcare-Products,"Consumer, Non-cyclical",Medical Imaging Systems,COMMON,true,GEHC
390332324,GEN,USD,NASDAQ,US,GEN DIGITAL INC,STK,Internet,Communications,Internet Security,COMMON,true,GEN
691984365,GEV,USD,NYSE,US,GE VERNOVA INC,STK,Machinery-Constr&amp;Mining,Industrial,Machinery-Electric Util,COMMON,true,GEV
269753,GILD,USD,NASDAQ,US,GILEAD SCIENCES INC,STK,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,COMMON,true,GILD
7616,GIS,USD,NYSE,US,GENERAL MILLS INC,STK,Food,"Consumer, Non-cyclical",Food-Misc/Diversified,COMMON,true,GIS
375868349,GL,USD,NYSE,US,GLOBE LIFE INC,STK,Insurance,Financial,Life/Health Insurance,COMMON,true,GL
7655,GLW,USD,NYSE,US,CORNING INC,STK,Telecommunications,Communications,Telecom Eq Fiber Optics,COMMON,true,GLW
80986742,GM,USD,NYSE,US,GENERAL MOTORS CO,STK,Auto Manufacturers,"Consumer, Cyclical",Auto-Cars/Light Trucks,COMMON,true,GM
72529783,GNRC,USD,NYSE,US,GENERAC HOLDINGS INC,STK,Electrical Compo&amp;Equip,Industrial,Power Conv/Supply Equip,COMMON,true,GNRC
208813720,GOOG,USD,NASDAQ,US,ALPHABET INC-CL C,STK,Internet,Communications,Web Portals/ISP,COMMON,true,GOOG
208813719,GOOGL,USD,NASDAQ,US,ALPHABET INC-CL A,STK,Internet,Communications,Web Portals/ISP,COMMON,true,GOOGL
7745,GPC,USD,NYSE,US,GENUINE PARTS CO,STK,Retail,"Consumer, Cyclical",Retail-Auto Parts,COMMON,true,GPC
11477774,GPN,USD,NYSE,US,GLOBAL PAYMENTS INC,STK,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,COMMON,true,GPN
76791198,GRMN,USD,NYSE,US,GARMIN LTD,STK,Electronics,Industrial,Electronic Compo-Misc,COMMON,true,GRMN
4627828,GS,USD,NYSE,US,GOLDMAN SACHS GROUP INC,STK,Banks,Financial,Diversified Banking Inst,COMMON,true,GS
7867,GWW,USD,NYSE,US,WW GRAINGER INC,STK,Distribution/Wholesale,"Consumer, Cyclical",Distribution/Wholesale,COMMON,true,GWW
7890,HAL,USD,NYSE,US,HALLIBURTON CO,STK,Oil&amp;Gas Services,Energy,Oil-Field Services,COMMON,true,HAL
754956,HAS,USD,NASDAQ,US,HASBRO INC,STK,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,COMMON,true,HAS
270018,HBAN,USD,NASDAQ,US,HUNTINGTON BANCSHARES INC,STK,Banks,Financial,Super-Regional Banks-US,COMMON,true,HBAN
85076790,HCA,USD,NYSE,US,HCA HEALTHCARE INC,STK,Healthcare-Services,"Consumer, Non-cyclical",Medical-Hospitals,COMMON,true,HCA
7930,HD,USD,NYSE,US,HOME DEPOT INC,STK,Retail,"Consumer, Cyclical",Retail-Building Products,COMMON,true,HD
1217009,HIG,USD,NYSE,US,HARTFORD INSURANCE GROUP INC,STK,Insurance,Financial,Multi-line Insurance,COMMON,true,HIG
86033355,HII,USD,NYSE,US,HUNTINGTON INGALLS INDUSTRIE,STK,Shipbuilding,Industrial,Shipbuilding,COMMON,true,HII
257944570,HLT,USD,NYSE,US,HILTON WORLDWIDE HOLDINGS IN,STK,Lodging,"Consumer, Cyclical",Hotels&amp;Motels,COMMON,true,HLT
4350,HON,USD,NASDAQ,US,HONEYWELL INTERNATIONAL INC,STK,Electronics,Industrial,Instruments-Controls,COMMON,true,HON
504546674,HOOD,USD,NASDAQ,US,ROBINHOOD MARKETS INC - A,STK,Internet,Communications,Internet Brokers,COMMON,true,HOOD
209411798,HPE,USD,NYSE,US,HEWLETT PACKARD ENTERPRISE,STK,Computers,Technology,Computers,COMMON,true,HPE
209411801,HPQ,USD,NYSE,US,HP INC,STK,Computers,Technology,Computers,COMMON,true,HPQ
8153,HRL,USD,NYSE,US,HORMEL FOODS CORP,STK,Food,"Consumer, Non-cyclical",Food-Meat Products,COMMON,true,HRL
3655640,HSIC,USD,NASDAQ,US,HENRY SCHEIN INC,STK,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Whsle Drug Dist,COMMON,true,HSIC
8057,HST,USD,NASDAQ,US,HOST HOTELS & RESORTS INC,STK,REITS,Financial,REITS-Hotels,REIT,true,HST
8199,HSY,USD,NYSE,US,HERSHEY CO/THE,STK,Food,"Consumer, Non-cyclical",Food-Confectionery,COMMON,true,HSY
216386790,HUBB,USD,NYSE,US,HUBBELL INC,STK,Electronics,Industrial,Electronic Compo-Misc,COMMON,true,HUBB
8251,HUM,USD,NYSE,US,HUMANA INC,STK,Healthcare-Services,"Consumer, Non-cyclical",Medical-HMO,COMMON,true,HUM
403121976,HWM,USD,NYSE,US,HOWMET AEROSPACE INC,STK,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,COMMON,true,HWM
43645865,IBKR,USD,NASDAQ,US,INTERACTIVE BROKERS GRO-CL A,STK,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,COMMON,true,IBKR
8314,IBM,USD,NYSE,US,INTL BUSINESS MACHINES CORP,STK,Computers,Technology,Computer Services,COMMON,true,IBM
136370275,ICE,USD,NYSE,US,INTERCONTINENTAL EXCHANGE IN,STK,Diversified Finan Serv,Financial,Finance-Other Services,COMMON,true,ICE
270413,IDXX,USD,NASDAQ,US,IDEXX LABORATORIES INC,STK,Healthcare-Products,"Consumer, Non-cyclical",Diagnostic Kits,COMMON,true,IDXX
8377,IEX,USD,NYSE,US,IDEX CORP,STK,Machinery-Diversified,Industrial,Machinery-General Indust,COMMON,true,IEX
8385,IFF,USD,NYSE,US,INTL FLAVORS & FRAGRANCES,STK,Chemicals,Basic Materials,Chemicals-Specialty,COMMON,true,IFF
4369855,INCY,USD,NASDAQ,US,INCYTE CORP,STK,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,COMMON,true,INCY
270639,INTC,USD,NASDAQ,US,INTEL CORP,STK,Semiconductors,Technology,Electronic Compo-Semicon,COMMON,true,INTC
270662,INTU,USD,NASDAQ,US,INTUIT INC,STK,Software,Technology,Applications Software,COMMON,true,INTU
264405214,INVH,USD,NYSE,US,INVITATION HOMES INC,STK,REITS,Financial,REITS-Apartments,REIT,true,INVH
8511,IP,USD,NYSE,US,INTERNATIONAL PAPER CO,STK,Forest Products&amp;Paper,Basic Materials,Paper&amp;Related Products,COMMON,true,IP
295757261,IQV,USD,NYSE,US,IQVIA HOLDINGS INC,STK,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&amp;Testing Srv,COMMON,true,IQV
404509190,IR,USD,NYSE,US,INGERSOLL-RAND INC,STK,Machinery-Diversified,Industrial,Machinery-Pumps,COMMON,true,IR
180350774,IRM,USD,NYSE,US,IRON MOUNTAIN INC,STK,REITS,Financial,REITS-Storage,REIT,true,IRM
9063285,ISRG,USD,NASDAQ,US,INTUITIVE SURGICAL INC,STK,Healthcare-Products,"Consumer, Non-cyclical",Medical Instruments,COMMON,true,ISRG
4457287,IT,USD,NYSE,US,GARTNER INC,STK,Computers,Technology,Computer Services,COMMON,true,IT
8620,ITW,USD,NYSE,US,ILLINOIS TOOL WORKS,STK,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,COMMON,true,ITW
47550606,IVZ,USD,NYSE,US,INVESCO LTD,STK,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,COMMON,true,IVZ
582332987,J,USD,NYSE,US,JACOBS SOLUTIONS INC,STK,Engineering&amp;Construction,Industrial,Engineering/R&amp;D Services,COMMON,true,J
270825,JBHT,USD,NASDAQ,US,HUNT (JB) TRANSPRT SVCS INC,STK,Transportation,Industrial,Transport-Truck,COMMON,true,JBHT
4457282,JBL,USD,NYSE,US,JABIL INC,STK,Electronics,Industrial,Electronic Compo-Misc,COMMON,true,JBL
244164913,JCI,USD,NYSE,US,JOHNSON CONTROLS INTERNATION,STK,Building Materials,Industrial,Bldg Prod-Air&amp;Heating,COMMON,true,JCI
270869,JKHY,USD,NASDAQ,US,JACK HENRY & ASSOCIATES INC,STK,Software,Technology,Data Processing/Mgmt,COMMON,true,JKHY
8719,JNJ,USD,NYSE,US,JOHNSON & JOHNSON,STK,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,COMMON,true,JNJ
1520593,JPM,USD,NYSE,US,JPMORGAN CHASE & CO,STK,Banks,Financial,Diversified Banking Inst,COMMON,true,JPM
324057162,KDP,USD,NASDAQ,US,KEURIG DR PEPPER INC,STK,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,COMMON,true,KDP
8809,KEY,USD,NYSE,US,KEYCORP,STK,Banks,Financial,Super-Regional Banks-US,COMMON,true,KEY
170167160,KEYS,USD,NYSE,US,KEYSIGHT TECHNOLOGIES IN,STK,Electronics,Industrial,Electronic Measur Instr,COMMON,true,KEYS
199169586,KHC,USD,NASDAQ,US,KRAFT HEINZ CO/THE,STK,Food,"Consumer, Non-cyclical",Food-Misc/Diversified,COMMON,true,KHC
8845,KIM,USD,NYSE,US,KIMCO REALTY CORP,STK,REITS,Financial,REITS-Shopping Centers,REIT,true,KIM
321328198,KKR,USD,NYSE,US,KKR & CO INC,STK,Private Equity,Financial,Private Equity,COMMON,true,KKR
270957,KLAC,USD,NASDAQ,US,KLA CORP,STK,Semiconductors,Technology,Semiconductor Equipment,COMMON,true,KLAC
8864,KMB,USD,NASDAQ,US,KIMBERLY-CLARK CORP,STK,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,COMMON,true,KMB
83975037,KMI,USD,NYSE,US,KINDER MORGAN INC,STK,Pipelines,Energy,Pipelines,COMMON,true,KMI
8894,KO,USD,NYSE,US,COCA-COLA CO/THE,STK,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,COMMON,true,KO
8908,KR,USD,NYSE,US,KROGER CO,STK,Food,"Consumer, Non-cyclical",Food-Retail,COMMON,true,KR
629043863,KVUE,USD,NYSE,US,KENVUE INC,STK,Cosmetics/Personal Care,"Consumer, Non-cyclical",Cosmetics&amp;Toiletries,COMMON,true,KVUE
9252,L,USD,NYSE,US,LOEWS CORP,STK,Insurance,Financial,Multi-line Insurance,COMMON,true,L
134280621,LDOS,USD,NYSE,US,LEIDOS HOLDINGS INC,STK,Computers,Technology,Computer Services,COMMON,true,LDOS
9091,LEN,USD,NYSE,US,LENNAR CORP-A,STK,Home Builders,"Consumer, Cyclical",Bldg-Residential/Commer,COMMON,true,LEN
703660032,LH,USD,NYSE,US,LABCORP HOLDINGS INC,STK,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&amp;Testing Srv,COMMON,true,LH
371886040,LHX,USD,NYSE,US,L3HARRIS TECHNOLOGIES INC,STK,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,COMMON,true,LHX
6608113,LII,USD,NYSE,US,LENNOX INTERNATIONAL INC,STK,Building Materials,Industrial,Bldg Prod-Air&amp;Heating,COMMON,true,LII
617155599,LIN,USD,NASDAQ,US,LINDE PLC,STK,Chemicals,Basic Materials,Industrial Gases,COMMON,true,LIN
201113895,LITE,USD,NASDAQ,US,LUMENTUM HOLDINGS INC,STK,Computers,Technology,Computers-Other,COMMON,true,LITE
9160,LLY,USD,NYSE,US,ELI LILLY & CO,STK,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,COMMON,true,LLY
611191,LMT,USD,NYSE,US,LOCKHEED MARTIN CORP,STK,Aerospace/Defense,Industrial,Aerospace/Defense,COMMON,true,LMT
5026984,LNT,USD,NASDAQ,US,ALLIANT ENERGY CORP,STK,Electric,Utilities,Electric-Integrated,COMMON,true,LNT
9199,LOW,USD,NYSE,US,LOWE'S COS INC,STK,Retail,"Consumer, Cyclical",Retail-Building Products,COMMON,true,LOW
732440574,LRCX,USD,NASDAQ,US,LAM RESEARCH CORP,STK,Semiconductors,Technology,Semiconductor Equipment,COMMON,true,LRCX
45157951,LULU,USD,NASDAQ,US,LULULEMON ATHLETICA INC,STK,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,COMMON,true,LULU
